股票名稱,日期,日報酬率(%)
2327 國巨,2020/2/14,4.1002
2327 國巨,2020/2/17,-0.8753
2327 國巨,2020/2/18,-0.6623
2327 國巨,2020/2/19,2.2222
2327 國巨,2020/2/20,-0.5435
2327 國巨,2020/2/21,3.1694
2327 國巨,2020/2/24,2.6483
2327 國巨,2020/2/25,0.1032
2327 國巨,2020/2/26,-9.0722
2327 國巨,2020/2/27,-7.0295
2327 國巨,2020/3/2,2.0732
2330 台積電,2019/3/4,-1.4644
2330 台積電,2019/3/5,-1.0616
2330 台積電,2019/3/6,0.4292
2330 台積電,2019/3/7,0
2330 台積電,2019/3/8,-1.7094
2330 台積電,2019/3/11,0.2174
2330 台積電,2019/3/12,2.1692
2330 台積電,2019/3/13,0.6369
2330 台積電,2019/3/14,-1.0549
2330 台積電,2019/3/15,1.919
2330 台積電,2019/3/18,0.8368
2330 台積電,2019/3/19,-0.2075
2330 台積電,2019/3/20,0.6237
2330 台積電,2019/3/21,1.4463
2330 台積電,2019/3/22,1.222
2330 台積電,2019/3/25,-2.8169
2330 台積電,2019/3/26,1.0352
2330 台積電,2019/3/27,-1.0246
2330 台積電,2019/3/28,0.207
2330 台積電,2019/3/29,1.4463
2330 台積電,2019/4/1,0
2330 台積電,2019/4/2,0.2037
2330 台積電,2019/4/3,0.2033
2330 台積電,2019/4/8,2.6369
2330 台積電,2019/4/9,0.3953
2330 台積電,2019/4/10,0
2330 台積電,2019/4/11,-0.7874
2330 台積電,2019/4/12,0
2330 台積電,2019/4/15,1.3889
2330 台積電,2019/4/16,0.5871
2330 台積電,2019/4/17,1.751
2330 台積電,2019/4/18,1.1472
2330 台積電,2019/4/19,0
2330 台積電,2019/4/22,0.5671
2330 台積電,2019/4/23,0.7519
2330 台積電,2019/4/24,0.3731
2330 台積電,2019/4/25,-0.5576
2330 台積電,2019/4/26,-2.8037
2330 台積電,2019/4/29,-0.1923
2330 台積電,2019/4/30,-0.1927
2330 台積電,2019/5/2,0
2330 台積電,2019/5/3,2.3166
2330 台積電,2019/5/6,-2.2642
2330 台積電,2019/5/7,1.3514
2330 台積電,2019/5/8,-0.9524
2330 台積電,2019/5/9,-1.3462
2330 台積電,2019/5/10,-0.1949
2330 台積電,2019/5/13,-2.1484
2330 台積電,2019/5/14,-0.7984
2330 台積電,2019/5/15,0.2012
2330 台積電,2019/5/16,-0.8032
2330 台積電,2019/5/17,-2.2267
2330 台積電,2019/5/20,-1.4493
2330 台積電,2019/5/21,-1.6807
2330 台積電,2019/5/22,1.7094
2330 台積電,2019/5/23,-3.3613
2330 台積電,2019/5/24,1.3043
2330 台積電,2019/5/27,-0.8584
2330 台積電,2019/5/28,-0.2165
2330 台積電,2019/5/29,-0.4338
2330 台積電,2019/5/30,0.6536
2330 台積電,2019/5/31,1.9481
2330 台積電,2019/6/3,1.0616
2330 台積電,2019/6/4,-2.1008
2330 台積電,2019/6/5,0.8584
2330 台積電,2019/6/6,-1.2766
2330 台積電,2019/6/10,3.4483
2330 台積電,2019/6/11,1.875
2330 台積電,2019/6/12,0.6135
2330 台積電,2019/6/13,-2.439
